Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_44_862.jpg;0;0;1;0;100.4851;85.96935;0.0002341813;270.5146;7.014685E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_44_907.jpg;0;0;0;0;100.4851;85.96935;0.0002341833;270.5146;7.459052E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_44_975.jpg;3.60736;0;0;0;100.4851;85.96935;0.0002348614;271.1639;6.056041E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_021.jpg;1.118385;0;0;0;100.4851;85.96935;0.0002357335;271.3652;6.309866E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_060.jpg;0;0;0;0;100.4851;85.96935;0.0002353148;271.3652;7.003594E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_140.jpg;0;0;0;0;100.4851;85.96935;0.0002344765;271.3652;8.304342E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_180.jpg;0;0;0;0;100.4851;85.96935;0.0002340567;271.3652;8.906363E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_220.jpg;0;0;0;0;100.4851;85.96935;0.0002336365;271.3652;9.4717E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_301.jpg;0;0;0;0;100.4851;85.96935;0.000233859;271.3652;1.022449E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_380.jpg;0;0;0;0;100.4851;85.96935;0.0002342958;271.3652;1.105144E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_421.jpg;0;0;0;0;100.4851;85.96935;0.0002338729;271.3652;1.139168E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_463.jpg;0;0;0;0;100.4851;85.96935;0.0002343033;271.3652;1.168172E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_504.jpg;0;0;0;0;100.4851;85.96935;0.0002338792;271.3652;1.191691E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_586.jpg;0;0;0;0;100.4851;85.96935;0.0002338828;271.3652;1.222205E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_627.jpg;0;0;0;0;100.4851;85.96935;0.0002343105;271.3652;1.228866E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_667.jpg;0;0;0;0;100.4851;85.96935;0.0002338837;271.3652;1.229708E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_708.jpg;0;0;0;0;100.4851;85.96935;0.00023431;271.3652;1.225031E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_788.jpg;0;0;0;0;100.4851;85.96935;0.0002343069;271.3652;1.198186E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_869.jpg;0;0;0;0;100.4851;85.96935;0.0002343011;271.3652;1.149831E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_912.jpg;0;0;0;0;100.4851;85.96935;0.0002338703;271.3652;1.117825E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_45_994.jpg;0;0;0;0;100.4851;85.96935;0.0002340745;271.3652;1.039869E-05
